3.411232700159731758e+04,1.356414498300076765e+00,-4.485653762589468796e-01,8.950049476361138900e+00
3.388098411665096501e+04,1.368804839827365560e+00,-4.493857401134737084e-01,9.078642608811469117e+00
3.469586274475402024e+04,1.322000785485558882e+00,-4.463176673771551140e-01,8.765761198177088431e+00
3.467810223617925658e+04,1.318410733285267256e+00,-4.459216709286749070e-01,8.563190730447395538e+00
3.453622156340001675e+04,1.324448121497751707e+00,-4.463324949074356507e-01,8.663897349241274526e+00
3.422105873955078278e+04,1.336427786691459341e+00,-4.469578614683004103e-01,8.644147926100453461e+00
3.517843955239886418e+04,1.281983585368350553e+00,-4.432298343968798515e-01,8.020670159309267078e+00
3.617719276029909088e+04,1.230517384068255060e+00,-4.397126921282848433e-01,7.428353679809903909e+00
3.562586063242338423e+04,1.253951482271130180e+00,-4.412096115956884446e-01,7.560169149083497686e+00
3.732304571535588912e+04,1.173371774680649793e+00,-4.357053451013738199e-01,6.988423199801945707e+00
3.618315212038257596e+04,1.220468605887922164e+00,-4.387599410096040820e-01,7.222148906364733278e+00
3.574423427367685508e+04,1.238177910850434937e+00,-4.398878427348791864e-01,7.359956303886091789e+00
3.654195491129587026e+04,1.197010843331624663e+00,-4.369889898015636431e-01,6.996673226697484260e+00
3.720147175622510986e+04,1.164536778494258629e+00,-4.346619776171422034e-01,6.694204787847631621e+00
3.587620819200344704e+04,1.219508033656481194e+00,-4.381947522054095989e-01,6.772750911910904392e+00
3.634553252724991762e+04,1.194812161565183217e+00,-4.364764568533691103e-01,6.617040635005555949e+00
3.558628363691444247e+04,1.225052881216365686e+00,-4.383315877194538523e-01,6.703859730913039883e+00
3.484281070740864379e+04,1.259353401728051880e+00,-4.406224998294007711e-01,7.015766281114494518e+00
3.448965038081263629e+04,1.273024889741749321e+00,-4.414087483689612124e-01,7.057315875712617981e+00
3.468245208054880641e+04,1.259772470598241378e+00,-4.404216570633761596e-01,6.890697691925276480e+00
3.375289163028515759e+04,1.302030647386511975e+00,-4.429762582566098561e-01,7.040480245456762987e+00
3.326941584825327300e+04,1.323394320498053611e+00,-4.442187258712536613e-01,7.123067321128930374e+00
3.328507343180064345e+04,1.317995430433330561e+00,-4.437088284843124786e-01,6.837853410131459420e+00
3.294649811863334617e+04,1.334344256040882248e+00,-4.447582510434344716e-01,7.018766825013893929e+00
3.243501441734670516e+04,1.357431543381339534e+00,-4.460289659498067882e-01,7.053087063734909457e+00
3.280594731666443840e+04,1.332749183133513426e+00,-4.443596215494704516e-01,6.842410920086456905e+00
3.159287159514478844e+04,1.396814446438930934e+00,-4.481554568220029178e-01,7.088582510411208126e+00
3.093086294459173223e+04,1.435227465330950469e+00,-4.504880159812515439e-01,7.356090423001070633e+00
3.012228280767556498e+04,1.483523119664432732e+00,-4.532807200338772047e-01,7.553864777402356623e+00
2.983476373127747138e+04,1.498218331687342086e+00,-4.540221883238479972e-01,7.579338459459493471e+00
2.991881327706785305e+04,1.487615772485061827e+00,-4.532247719838380373e-01,7.412711037819502913e+00
3.000883128910000960e+04,1.481604210769945640e+00,-4.529936664056968820e-01,7.557549048640755274e+00
2.851927737213387809e+04,1.581927084491595581e+00,-4.586951597039018447e-01,7.885718198395625933e+00
2.901957501396382577e+04,1.542147762886425522e+00,-4.563375465227434424e-01,7.664930053332526860e+00
2.829998814168378158e+04,1.590451714741349498e+00,-4.589894170158602127e-01,7.840604187610956899e+00
2.764193141332396408e+04,1.639965290381863783e+00,-4.618361230383659644e-01,8.155343126997767200e+00
2.695834608487505466e+04,1.689455712994688774e+00,-4.644060032595148657e-01,8.288849453453616789e+00
2.779859996719938863e+04,1.618068224959067880e+00,-4.603283780020032134e-01,7.878981617234968482e+00
2.698319896715309733e+04,1.679780703960348065e+00,-4.636803361992664629e-01,8.143422182511331542e+00
2.705776267733354325e+04,1.671648171907737845e+00,-4.632506395661682985e-01,8.186043998245052578e+00
2.699536109112955819e+04,1.672035699770854977e+00,-4.631200097987527298e-01,8.098383846110580819e+00
2.669717493655089856e+04,1.693025028478289729e+00,-4.642047075408036183e-01,8.202338798865152825e+00
2.681510112504947028e+04,1.677702801559350920e+00,-4.631895702276495053e-01,8.036216051559318174e+00
2.733044793946622667e+04,1.631931621782216402e+00,-4.605308123596097425e-01,7.753826107313297911e+00
2.609517710815207101e+04,1.732738330956715478e+00,-4.660308684237696730e-01,8.183161669362489121e+00
2.716363318081092802e+04,1.637583041000549855e+00,-4.606472276158126711e-01,7.660307038378511457e+00
2.650466950071927931e+04,1.689718865777697365e+00,-4.635263711886292159e-01,7.956966295337267070e+00
2.578402363147510550e+04,1.754436870116387714e+00,-4.672429004828609900e-01,8.485095099555840292e+00
2.608633589290929012e+04,1.721405573922734078e+00,-4.652517321319745713e-01,8.211908323575176638e+00
2.643680054915348592e+04,1.688111562168111313e+00,-4.633512806110893778e-01,8.009758783611665933e+00
2.556104679746135298e+04,1.761082052368963868e+00,-4.671752461781080168e-01,8.252096856405609415e+00
2.639638322542028982e+04,1.678941174125433644e+00,-4.624448597929046167e-01,7.763217355414937515e+00
2.680033401677404618e+04,1.641029199207731715e+00,-4.601673946005716553e-01,7.406217707155663632e+00
2.658143833411273954e+04,1.655879348035060872e+00,-4.608777146671815261e-01,7.397920101795291359e+00
2.618049604677180832e+04,1.687346987315107238e+00,-4.625505479559514077e-01,7.527195982539799601e+00
2.625366701511093925e+04,1.678202199135840900e+00,-4.619486339878012826e-01,7.418009474202873932e+00
2.640719383691426629e+04,1.663327640336500934e+00,-4.610804460428862273e-01,7.303023495414051602e+00
2.599230647185989801e+04,1.696593583803789551e+00,-4.628353004579318086e-01,7.416648958086682342e+00
2.514548586313433771e+04,1.771369951230305384e+00,-4.668130199148070036e-01,7.712404376231553726e+00
2.547181652390049203e+04,1.737312844715481752e+00,-4.648638367148207329e-01,7.516545672437916714e+00
2.454393048872069994e+04,1.823225928068863411e+00,-4.693878142147292487e-01,7.878613590960657831e+00
2.408851392638353354e+04,1.867278589508734266e+00,-4.716264114597790158e-01,7.998415863448436802e+00
2.373438372125052410e+04,1.901982879608837829e+00,-4.733413929870947667e-01,8.089343169306147274e+00
2.360312996023860251e+04,1.912733095421518925e+00,-4.738094138025304436e-01,8.145771149084160001e+00
2.378568519374507378e+04,1.893031397301836227e+00,-4.728090564241248517e-01,8.116214836081651285e+00
2.348975491201606565e+04,1.923376219813750510e+00,-4.743546960767864307e-01,8.259539146853249747e+00
2.382211010917508611e+04,1.885234495788008724e+00,-4.723022236651923667e-01,8.038785880331904110e+00
2.381804085066094922e+04,1.884751145199099032e+00,-4.722435530876905041e-01,8.011201770525140375e+00
2.376164521465360667e+04,1.887522142171803141e+00,-4.722755181493999421e-01,7.944406328683353280e+00
2.346319946777258519e+04,1.917906231634331826e+00,-4.738094005013405718e-01,8.075245393433309715e+00
2.402023308593443653e+04,1.857810412677933343e+00,-4.706574929918577732e-01,7.782177667558999090e+00
2.316476399322336147e+04,1.947127446079128799e+00,-4.751966334293926120e-01,8.143824790032169858e+00
2.352233726034136635e+04,1.906985043372606103e+00,-4.731065774509403132e-01,7.944714987834180064e+00
2.325002906670709854e+04,1.934207511473570174e+00,-4.744287543203805635e-01,8.023341919853097082e+00
2.318344699285260504e+04,1.939277047762591577e+00,-4.746093299037726365e-01,7.992152710738594124e+00
2.288441666561653983e+04,1.972311646980673183e+00,-4.762822090104598671e-01,8.146422338396989815e+00
2.262152492958877338e+04,2.001775935757633906e+00,-4.777307807929542238e-01,8.242330817073087346e+00
2.183973419095921781e+04,2.095637743712834844e+00,-4.824361344087120251e-01,8.847999214280166669e+00
2.216651535376538232e+04,2.052949211442490540e+00,-4.802377120674635735e-01,8.613448313582203753e+00
2.139545082219055621e+04,2.149098792929108548e+00,-4.849251677959349749e-01,9.017246401495290442e+00
2.197882060614644070e+04,2.071239113298911860e+00,-4.809711264984747325e-01,8.587118401963357073e+00
2.149172259388049133e+04,2.130046546481696890e+00,-4.837569164762169915e-01,8.775064126654486429e+00
2.144121717491740492e+04,2.136163700333828075e+00,-4.840510426013739376e-01,8.807992370845994401e+00
2.112378906282667231e+04,2.174984107290395929e+00,-4.858301824378998823e-01,8.912472303742239532e+00
2.113357843257331115e+04,2.173176938061723629e+00,-4.857158173187822170e-01,8.881448338378021390e+00
2.177974622705217553e+04,2.091204589107569678e+00,-4.817989341698512007e-01,8.580670478496232434e+00
2.201235053915205572e+04,2.063147635881876329e+00,-4.804586370787974348e-01,8.498397037737019488e+00
2.182742855531303576e+04,2.089452863028706808e+00,-4.818646654239010507e-01,8.668004064425113953e+00
2.210730722687086381e+04,2.057356004061698052e+00,-4.803713239423483827e-01,8.593983219455699540e+00
2.242039240941789467e+04,2.021972660324222293e+00,-4.786904375008386170e-01,8.494406505891513248e+00
2.236628136789287601e+04,2.029242712628911427e+00,-4.790964771880557027e-01,8.565326405832029977e+00
2.318460104053471514e+04,1.935813284255829769e+00,-4.743884158180960986e-01,8.160746296766207664e+00
2.337643426922743674e+04,1.916746434144738220e+00,-4.734967180207856896e-01,8.207196532680530510e+00
2.338076956950398744e+04,1.919223665523005495e+00,-4.737167126578544218e-01,8.273549928232229789e+00
2.344671928557898718e+04,1.913188612392221710e+00,-4.734404402254037691e-01,8.264995804959349712e+00
2.363299263611786591e+04,1.895248125368725667e+00,-4.725825253471522824e-01,8.226684309547627194e+00
2.371189304001464916e+04,1.887673609434852517e+00,-4.722156410026490114e-01,8.240810052957039389e+00
2.415603799169080958e+04,1.845485720651641071e+00,-4.701497042372910218e-01,8.138848453433084273e+00
2.354176563971200085e+04,1.910956804812531828e+00,-4.735802028725744628e-01,8.441657345065884499e+00
2.373738620839555369e+04,1.890976437287088974e+00,-4.725624149019194697e-01,8.346032192795242111e+00
2.413351194660675537e+04,1.852384770440507866e+00,-4.706426426051218415e-01,8.233651143487085378e+00
2.408143006296917883e+04,1.860529427182908702e+00,-4.711595721348047494e-01,8.342025816179200248e+00
2.390510900562338793e+04,1.879535990508499843e+00,-4.721782617846725927e-01,8.449740364323375275e+00
2.480024846965017787e+04,1.792879746598893709e+00,-4.677228016690916368e-01,8.118013732823619932e+00
2.471607525514523877e+04,1.801889128226328740e+00,-4.682351015275508233e-01,8.185879839572073990e+00
2.451589534699666183e+04,1.823783588032604763e+00,-4.694615198529986100e-01,8.320676786324787244e+00
2.445419881983486994e+04,1.832572133595437247e+00,-4.700011006186323170e-01,8.397698029406925002e+00
2.471351897165547416e+04,1.808180196525623895e+00,-4.687288635398412229e-01,8.309234564929894873e+00
2.443482598520139800e+04,1.836444923165549747e+00,-4.702613331456753643e-01,8.502751886565574679e+00
2.471877252642380336e+04,1.811569449626935668e+00,-4.690415621701881088e-01,8.438146251178570978e+00
2.453979678835762752e+04,1.831432389624460644e+00,-4.701746680588867466e-01,8.590491242873778077e+00
